popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre_Art_Instrumental,genre_Electronic_Dance,genre_Folk_Country_Blues,genre_Latin_Brazilian,genre_Metal_HardRock,genre_Mood_Ambient,genre_Other,genre_Pop,genre_RnB_Soul,genre_Rock_Alternative,genre_World,is_hit
21,283746,1,0.498,0.453,2,-21.744,1,0.959,0.659,0.0,0.738,0.183,76.725,4,0,0,0,0,0,1,0,0,0,0,0,0
27,191400,0,0.623,0.843,0,-4.611,1,0.0854,0.0445,2.93e-05,0.0584,0.395,129.99,4,0,0,0,0,1,0,0,0,0,0,0,0
27,356186,0,0.596,0.802,5,-5.299,1,0.0337,0.414,3.62e-06,0.165,0.815,84.497,4,0,0,0,1,0,0,0,0,0,0,0,0
41,241758,0,0.3,0.27,8,-14.397,0,0.0371,0.9,4.47e-05,0.1,0.214,144.589,4,0,0,1,0,0,0,0,0,0,0,0,0
50,321977,0,0.229,0.472,0,-8.51,1,0.0353,0.309,0.0,0.521,0.164,134.521,3,0,0,1,1,0,0,0,0,0,0,0,1
49,150133,0,0.246,0.125,8,-17.825,1,0.0431,0.985,0.000112,0.262,0.076,111.735,4,1,0,0,0,0,0,0,0,0,0,0,0
39,263909,0,0.264,0.642,6,-8.987,0,0.0412,0.521,0.000215,0.96,0.284,112.734,4,0,0,0,1,0,0,0,0,0,0,0,0
49,197626,0,0.727,0.598,8,-8.425,1,0.0515,0.0661,1.07e-05,0.0975,0.683,97.037,4,0,1,0,0,0,0,0,0,0,0,0,0
48,94440,0,0.656,0.678,0,-7.629,1,0.0289,0.396,9.11e-05,0.124,0.857,170.175,4,0,0,0,0,0,1,0,0,0,0,0,0
48,334320,0,0.62,0.69,5,-7.028,1,0.0481,0.27,0.0,0.147,0.435,84.006,4,0,0,1,1,0,0,0,0,1,0,0,0
28,174709,0,0.645,0.626,7,-7.551,1,0.0364,0.259,0.00887,0.115,0.307,118.585,4,0,0,1,0,0,0,0,0,0,0,0,0
0,157837,0,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,0,0,0,1,0,0,0,0,1,0,0,0
44,159202,0,0.673,0.789,8,-7.46,1,0.0375,0.565,0.0291,0.175,0.672,100.027,4,0,0,0,1,0,0,0,0,0,0,0,0
31,216000,0,0.757,0.723,1,-7.632,1,0.034,0.0407,1.67e-06,0.111,0.594,100.039,4,0,1,0,0,0,0,0,0,0,0,0,0
67,275614,0,0.486,0.948,9,-1.59,1,0.122,0.0242,0.0286,0.137,0.507,170.015,4,0,0,0,0,0,0,0,1,0,0,0,1
47,188571,0,0.714,0.579,0,-6.087,1,0.0316,0.218,0.0,0.358,0.256,140.006,4,0,1,0,0,0,0,0,0,0,1,1,0
0,306463,0,0.817,0.63,9,-4.631,1,0.203,0.00237,0.35,0.202,0.432,122.933,4,0,1,0,0,0,0,0,1,0,0,1,0
25,231373,1,0.569,0.932,1,-5.497,1,0.893,0.777,0.0,0.927,0.342,86.499,4,0,0,0,0,0,1,0,0,0,0,0,0
37,210800,0,0.725,0.554,5,-10.829,1,0.0628,0.713,2.54e-05,0.142,0.739,141.146,4,0,0,0,1,0,0,0,0,0,0,0,0
20,167546,0,0.54,0.3,5,-9.762,1,0.116,0.836,0.0,0.232,0.451,111.098,4,0,0,0,1,0,0,0,0,0,0,0,0
37,159195,0,0.736,0.289,0,-11.398,1,0.0494,0.93,0.839,0.139,0.15,68.987,4,0,0,0,0,0,1,0,0,0,0,0,0
0,194544,0,0.678,0.528,10,-7.317,1,0.0551,0.289,0.0,0.0734,0.614,79.018,4,0,0,1,0,0,0,0,0,0,0,0,0
62,314720,0,0.285,0.462,5,-6.166,0,0.0291,0.428,5.61e-06,0.122,0.0923,142.365,4,0,0,0,0,0,0,0,0,0,0,1,1
18,260079,0,0.422,0.855,0,-6.777,0,0.0426,0.000148,0.872,0.223,0.141,88.004,4,0,0,0,0,0,0,0,1,0,0,0,0
23,224133,0,0.386,0.181,7,-14.743,1,0.0311,0.731,0.783,0.0966,0.216,104.577,4,0,0,0,0,0,1,0,0,0,0,0,0
52,259528,0,0.523,0.923,5,-5.754,0,0.0703,0.00139,5.76e-06,0.303,0.285,127.013,4,0,0,0,0,1,0,0,0,0,0,0,1
45,237280,0,0.466,0.613,9,-8.69,1,0.0284,0.43,7.06e-05,0.246,0.384,79.755,4,0,0,0,1,0,0,0,0,0,0,0,0
53,141941,0,0.323,0.0323,2,-26.851,1,0.0376,0.995,0.934,0.089,0.196,98.443,1,1,0,0,0,0,0,0,0,0,0,0,1
35,184616,1,0.655,0.607,10,-8.755,1,0.442,0.00373,0.0,0.16,0.414,106.547,5,0,0,0,0,0,0,0,0,0,0,1,0
42,203346,0,0.672,0.489,0,-5.15,1,0.0285,0.549,0.0,0.16,0.927,98.447,3,0,0,0,0,0,0,0,0,1,0,0,0
38,215015,0,0.499,0.958,7,-2.317,1,0.0368,0.00246,0.0,0.286,0.729,147.429,4,0,0,0,0,0,0,0,0,0,1,0,0
40,231398,1,0.547,0.618,0,-9.492,1,0.099,0.79,0.000534,0.0978,0.483,99.216,4,0,0,0,0,0,0,0,0,0,0,1,0
18,215560,0,0.571,0.918,10,-6.139,0,0.0296,0.000677,0.63,0.101,0.766,129.0,4,0,0,0,0,0,0,0,0,1,0,0,0
47,282840,0,0.687,0.926,5,-7.313,1,0.0548,0.0486,0.00174,0.162,0.58,115.753,4,0,0,0,0,0,0,0,0,0,1,0,0
26,134426,0,0.392,0.665,5,-7.822,0,0.033,0.0078,0.816,0.551,0.617,146.53,4,0,1,0,0,0,0,0,0,0,1,0,0
54,230309,0,0.356,0.959,7,-3.198,0,0.136,0.134,5.25e-06,0.761,0.465,137.93,4,0,0,0,1,0,0,0,0,0,0,0,1
0,196853,0,0.57,0.0696,6,-13.124,1,0.0504,0.888,0.0,0.11,0.182,139.348,4,0,0,0,0,0,0,0,0,1,0,0,0
38,249786,0,0.648,0.8,0,-5.433,1,0.106,0.0059,2.12e-06,0.667,0.37,94.991,4,0,0,0,0,0,0,0,0,0,1,0,0
22,251693,0,0.433,0.47,9,-11.916,1,0.0289,0.0909,0.0106,0.675,0.65,78.639,4,0,0,1,0,0,0,0,0,0,0,0,0
18,373452,0,0.67,0.698,11,-7.122,1,0.0438,0.00147,0.577,0.0617,0.55,125.987,4,0,1,0,0,0,0,0,0,0,0,1,0
0,163266,0,0.586,0.473,9,-9.244,1,0.0829,0.668,0.0,0.0746,0.713,178.906,4,0,0,1,0,0,0,0,0,0,0,0,0
38,392404,0,0.57,0.681,8,-11.716,0,0.0365,0.33,0.862,0.108,0.25,124.002,4,0,1,0,0,0,0,0,0,0,0,0,0
35,212062,0,0.801,0.953,9,-0.706,1,0.333,0.388,0.0,0.0757,0.87,90.89,4,0,0,0,0,0,0,0,0,0,0,1,0
59,685880,1,0.419,0.575,4,-12.22,0,0.0897,0.103,0.459,0.895,0.354,129.267,4,0,0,0,0,0,0,0,0,0,1,0,1
20,121000,0,0.223,0.192,6,-18.196,1,0.0482,0.978,0.000239,0.0955,0.0611,74.543,3,1,0,0,0,0,0,0,0,0,0,0,0
18,374136,0,0.82,0.672,0,-7.212,1,0.0413,0.033,0.173,0.0976,0.68,127.992,4,0,1,0,0,0,0,0,0,0,0,0,0
