acousticness,instrumentalness,duration_ms,energy,loudness,valence,speechiness,liveness,danceability,tempo,is_hit,popularity,genre_Art_Instrumental,genre_Electronic_Dance,genre_Folk_Country_Blues,genre_Latin_Brazilian,genre_Metal_HardRock,genre_Mood_Ambient,genre_Other,genre_Pop,genre_RnB_Soul,genre_Rock_Alternative,genre_World
0.295,0.0,193205,0.81,-4.67,0.703,0.0792,0.097,0.478,132.846,0,49,0,0,0,1,0,0,0,0,0,0,0
0.0245,0.0113,209333,0.834,-11.44,0.0403,0.035,0.375,0.444,180.757,0,17,0,0,0,0,0,1,0,0,0,0,0
0.0977,0.0,182186,0.726,-7.129,0.405,0.0411,0.301,0.709,92.014,0,2,0,0,0,1,0,0,0,0,1,0,1
0.00108,0.941,117400,0.433,-13.474,0.117,0.0316,0.0739,0.395,105.878,0,21,0,0,0,0,1,0,0,0,0,1,0
0.835,0.433,248181,0.429,-10.742,0.316,0.0322,0.403,0.461,87.97,0,34,0,0,1,0,0,0,0,0,0,0,0
0.976,0.416,118607,0.0265,-19.707,0.221,0.0904,0.107,0.895,117.886,0,49,0,0,1,0,0,0,0,0,0,0,0
0.679,0.000209,143730,0.439,-10.924,0.83,0.0309,0.132,0.374,144.654,0,22,0,0,1,0,0,0,0,0,0,1,0
0.967,9.45e-05,402679,0.225,-19.73,0.143,0.0421,0.248,0.406,107.191,0,29,0,0,0,0,0,1,0,0,0,0,0
0.499,4.7e-05,242019,0.895,-5.218,0.874,0.422,0.0959,0.595,97.43,1,59,0,0,0,0,0,0,0,1,0,0,0
0.00472,0.674,72640,0.939,-8.884,0.499,0.199,0.19,0.474,166.829,1,55,0,0,0,0,0,0,0,0,0,1,1
0.881,3.59e-05,162897,0.876,-5.662,0.949,0.185,0.26,0.647,151.925,0,0,0,0,1,0,0,0,0,0,1,1,0
0.245,0.0,220800,0.862,-7.545,0.588,0.0934,0.339,0.667,100.048,0,39,0,0,0,0,0,0,0,0,0,0,1
0.134,0.0,179199,0.871,-4.126,0.667,0.175,0.316,0.709,125.94,0,0,0,1,0,0,0,0,0,0,0,0,0
0.036,0.888,333240,0.347,-7.178,0.528,0.0514,0.106,0.854,119.989,0,19,0,1,0,0,0,0,0,0,0,0,0
0.0968,0.000421,321946,0.79,-10.978,0.349,0.0774,0.599,0.316,98.683,0,23,0,0,0,0,1,0,0,0,0,0,0
0.00369,0.000234,197288,0.699,-6.63,0.508,0.0517,0.402,0.744,117.99,0,47,0,1,0,0,0,0,0,0,0,0,0
0.184,0.0,211480,0.848,-4.359,0.429,0.0504,0.248,0.696,122.988,0,30,0,0,0,0,0,1,0,0,0,0,0
0.221,0.55,226216,0.781,-6.344,0.258,0.124,0.0964,0.479,147.961,1,71,0,1,0,0,0,0,0,0,0,1,0
0.0715,0.0,217560,0.609,-8.824,0.364,0.0358,0.582,0.44,165.156,1,57,0,0,0,0,0,0,0,0,0,1,1
0.75,0.615,172695,0.62,-7.736,0.763,0.0394,0.191,0.655,97.513,0,21,0,0,0,0,0,0,0,0,0,0,1
0.52,0.0,350892,0.825,-4.804,0.734,0.112,0.71,0.531,87.566,0,41,0,0,0,1,0,0,0,0,0,0,0
0.00631,0.00109,66913,0.728,-3.977,0.461,0.335,0.0887,0.711,164.871,0,41,0,1,0,0,0,0,0,0,0,0,0
0.367,0.0227,187547,0.594,-5.642,0.879,0.271,0.0796,0.709,189.916,0,20,0,0,0,0,0,0,0,0,0,0,1
