popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,is_hit
73,238680,0,0.289,0.796,0,-4.22,1,0.0494,0.00837,2.61e-05,0.202,0.33,169.835,4,emo,1
70,199174,0,0.559,0.632,5,-7.58,0,0.0608,0.413,0.0,0.118,0.699,90.097,4,pop,1
57,390560,0,0.627,0.838,2,-8.168,1,0.0406,0.22,8.99e-06,0.122,0.728,138.856,4,pop-film,1
42,106484,0,0.456,0.469,2,-7.838,0,0.0339,0.143,0.936,0.212,0.106,120.045,4,anime,0
44,103705,0,0.76,0.366,5,-8.91,1,0.0479,0.837,0.907,0.0945,0.317,84.998,4,anime,0
42,145375,0,0.582,0.73,6,-7.22,0,0.421,0.115,0.0,0.123,0.441,175.073,4,sad,0
41,187187,1,0.678,0.727,5,-6.534,0,0.0646,0.232,6.74e-05,0.107,0.453,143.003,4,sad,0
46,206226,1,0.385,0.98,8,-2.764,0,0.0683,0.00021,0.0034,0.369,0.61,165.932,4,emo,0
46,148779,0,0.599,0.767,2,-3.557,1,0.0457,0.375,0.0,0.371,0.52,123.011,4,sertanejo,0
56,289012,0,0.558,0.506,1,-6.761,0,0.0236,0.704,3.05e-06,0.0896,0.358,90.001,4,pop-film,1
29,165849,0,0.652,0.347,0,-11.901,0,0.0304,0.79,1.57e-05,0.119,0.109,105.981,4,anime,0
61,235973,0,0.666,0.439,4,-11.383,1,0.027,0.287,0.00417,0.121,0.417,87.997,4,pop-film,1
50,151347,0,0.779,0.554,2,-8.247,1,0.0667,0.0608,0.0,0.0942,0.299,90.016,4,emo,1
3,263400,0,0.598,0.448,8,-6.312,1,0.0232,0.162,0.0,0.106,0.168,95.009,3,pop,0
39,231428,0,0.561,0.404,0,-10.193,1,0.0324,0.735,0.0186,0.164,0.52,139.774,4,pop-film,0
42,296560,0,0.484,0.727,0,-6.107,1,0.0358,0.198,0.00204,0.107,0.216,120.066,4,grunge,0
34,176430,1,0.574,0.862,11,-6.733,1,0.486,0.0213,0.0,0.11,0.567,177.814,4,emo,0
70,336960,0,0.631,0.644,10,-10.81,0,0.0348,0.341,0.000411,0.0877,0.861,103.376,4,anime,1
51,228728,0,0.674,0.723,9,-5.6,1,0.0567,0.0379,0.0,0.114,0.557,121.948,4,anime,1
53,302040,0,0.575,0.795,2,-6.149,1,0.0357,0.0787,2.62e-05,0.086,0.149,105.015,4,grunge,1
45,129586,0,0.411,0.244,7,-13.5,1,0.0324,0.0366,0.00227,0.108,0.0309,71.999,3,anime,0
67,270375,0,0.692,0.624,9,-6.492,0,0.0337,0.368,0.0,0.108,0.487,132.896,4,pop,1
47,240517,0,0.67,0.964,4,-4.958,0,0.138,0.33,0.00227,0.142,0.487,115.959,4,indian,0
42,180937,0,0.556,0.284,10,-13.33,1,0.0465,0.87,0.00824,0.116,0.198,119.782,4,indian,0
48,216560,0,0.617,0.653,5,-7.368,1,0.0312,0.44,0.0,0.888,0.307,140.023,4,sertanejo,0
68,177694,0,0.817,0.715,9,-5.13,1,0.0484,0.183,0.0,0.214,0.398,100.002,4,pop,1
63,269032,0,0.495,0.654,3,-6.639,0,0.0679,0.713,0.0,0.165,0.35,123.896,4,indian,1
36,240000,0,0.721,0.486,1,-12.614,1,0.0482,0.0426,0.0,0.0624,0.595,132.068,4,anime,0
43,303167,0,0.544,0.413,11,-8.606,1,0.159,0.961,0.908,0.115,0.438,126.142,3,chill,0
47,253600,0,0.561,0.487,5,-13.121,0,0.0736,0.523,0.0,0.0802,0.524,147.468,4,sertanejo,0
64,264854,0,0.616,0.75,2,-4.629,1,0.0594,0.172,0.0,0.137,0.434,128.051,4,pop-film,1
52,157333,0,0.492,0.969,9,-4.419,1,0.0492,0.00144,1.36e-06,0.0789,0.538,95.137,4,grunge,1
54,222226,0,0.527,0.922,4,-2.637,1,0.0414,0.0645,9.05e-05,0.314,0.915,175.032,4,anime,1
67,193106,0,0.578,0.897,0,-3.906,1,0.0357,0.000666,0.0,0.0924,0.737,115.491,4,grunge,1
62,301586,0,0.693,0.956,1,-5.012,0,0.071,0.289,0.0,0.294,0.665,90.005,4,pop-film,1
56,139311,0,0.735,0.58,1,-6.478,1,0.341,0.0372,0.0,0.153,0.253,139.065,4,emo,1
34,230120,0,0.645,0.41,10,-7.796,1,0.0344,0.764,0.0,0.151,0.517,95.016,4,emo,0
43,194000,0,0.594,0.567,0,-9.957,0,0.0384,0.139,4.9e-06,0.134,0.185,134.932,4,k-pop,0
45,1345998,0,0.582,0.572,10,-7.739,1,0.0353,0.606,0.0,0.0905,0.812,156.966,3,k-pop,0
47,191440,0,0.483,0.913,6,-4.305,1,0.0425,0.000391,0.0,0.309,0.279,103.108,4,grunge,0
40,219376,1,0.788,0.743,6,-5.067,1,0.4,0.0911,0.0,0.117,0.741,174.047,4,emo,0
68,247941,0,0.487,0.456,8,-7.144,1,0.0319,0.789,1.79e-06,0.141,0.348,136.088,4,indian,1
26,255233,0,0.488,0.926,0,-5.622,1,0.0891,0.00373,0.000305,0.364,0.76,94.743,4,grunge,0
58,116881,0,0.758,0.206,7,-16.333,1,0.112,0.922,0.00518,0.177,0.389,115.008,4,sad,1
48,238160,0,0.441,0.867,4,-5.878,0,0.0426,0.0306,0.0,0.0747,0.416,150.095,4,grunge,0
54,126316,0,0.78,0.438,8,-9.318,1,0.132,0.175,0.0,0.163,0.795,176.189,4,sad,1
66,104783,0,0.814,0.0987,7,-22.009,1,0.038,0.702,0.872,0.114,0.872,109.975,5,sad,1
52,130882,0,0.283,0.806,9,-6.017,0,0.0555,0.00442,0.243,0.283,0.261,67.651,4,anime,1
1,184390,0,0.692,0.883,7,-4.698,1,0.0582,0.0512,0.0,0.228,0.614,122.984,4,pop,0
46,323468,0,0.705,0.978,9,-2.422,1,0.124,0.404,0.0,0.362,0.882,178.083,4,sertanejo,0
